district_id,pcode,educgengap2018,educgengap2015,educgengap2011,educgengap2008,educgengap2000,educgengap1990,educgengap1985
Mut,TUR033009,.108477928042868,.112178663239075,.121293544920023,.114726239031022,.0609967699741064,.0993941092004343,.0894252537793033
Silifke,TUR033010,.0996444279671728,.107836200797253,.119748009449646,.170600303273571,.0855884613881252,.180216987586746,.124118077349631
Tarsus,TUR033011,.176202161603318,.166168424270212,.173247006317377,.156057856741903,.105674077142594,.123043523208932,.129987940201603
Merkez33,TUR033012,.151765843891418,.171230135043083,.166631775754907,.18212617345492,.0837259739203513,.164756468455511,.178977971710193
YenisehirM,TUR033013,-.0020293509807286,.0166991888274283,.0519378054882038,.229288227218123,.,.,.
Adalar,TUR034001,.222429160569376,.269861464517953,.165526675786594,.382088627207933,.336389462809917,.282601176063646,.352519107783497
Arnavutkoy,TUR034002,.173797223740636,.139554442001244,.17431183130778,.135713472701749,.,.,.
Atasehir,TUR034003,.0407417510064337,.0675966373868986,.0713454429867061,.135713472701749,.,.,.
Avcilar,TUR034004,.0744040518965739,.101426727134298,.0993709635956329,.239529673223139,.0653619543120973,.,.
Bagcilar,TUR034005,.13000679449149,.157132736974516,.149144894602019,.186069848628327,.13334244571361,.,.
Bahcelievler,TUR034006,.0854676589675474,.109280471957481,.101234180594863,.219907026853079,.0556273178049085,.,.
Bakirkoy,TUR034007,-.0893512954761285,-.0655219465891466,-.0552393417778199,3.79067245119306,.0142213103182148,.158619879376518,.180096485695395
Basaksehir,TUR034008,.0711932624197038,.0115819337784564,.0906847624922887,.185248529153066,.,.,.
Bayrampasa,TUR034009,.0706094727964133,.0947550039617011,.101132273545291,.198351652490979,.134339098705543,.171160239525684,
Besiktas,TUR034010,-.110365952943092,-.0835462014142988,-.086795185084623,.176597308721132,.0254284078360803,.038831822340514,.065082664697997
Beykoz,TUR034011,.0753344944658924,.100731839826148,.110561593024013,.2330942196628,.102011868577218,.198561613048224,.229040022217422
Beylikduzu,TUR034012,-.0027291643334178,.0843065232934711,.0177446896938047,.245833154805262,.,.,.
Beyoglu,TUR034013,.161091463034396,.178605425987625,.150142108462436,.205760906590896,.179695928487892,.252688985085348,.293963886807265
Buyukcekmece,TUR034014,.0415983229450877,.0553651736311923,.062652258104816,.211599445050045,.132082808980875,.340605640241499,
Catalca,TUR034015,.12133405117452,.0987053058261238,.118733337668249,.182595440084836,.215432970194177,.281461434370771,.290996723310219
Cekmekoy,TUR034016,.0780328182100461,.499707579368197,.118513409791205,.216141246307263,.,.,.
Esenler,TUR034017,.152246903800185,.17705917969188,.163111624189681,.190114944566055,.161333976178214,.,.
Esenyurt,TUR034018,.131486901934795,.0777604331002873,.154069743539143,.202557189407347,.,.,.
Eyup,TUR034019,.0738390689630023,.106019718097859,.100249736583208,.203828145999637,.114047721926161,.212991586382144,.238607311501244
Fatih,TUR034020,.0708287492862813,.0908315565031983,.0796047251879126,.204903740720102,.0578985697512546,.041544483455407,.151571545879566
Gaziosmanpasa,TUR034021,.104051580561648,.128191712013395,.124875804660561,.184136212988218,.12518065894585,.18957872575706,.193003845071743
Gungoren,TUR034022,.114076501970083,.122451567265277,.101675,.224564310064676,.0590039551214787,.,.
Kadikoy,TUR034023,-.127265283083369,-.114896291640478,-.0936011697535162,.172259750436404,.058073821241923,.0116253100988091,.0471195987155082
Kagithane,TUR034024,.0972217740634378,.125949892999225,.114469142953684,.201537611322766,.123485790065237,.195662822975064,
Kartal,TUR034025,.0618176826626516,.0863926940639269,.0979021296082192,.261801255457741,.0906702229449355,.157681840337955,.201639115216048
Kucukcekmece,TUR034026,.0816147968522418,.103781336109078,.101339929328622,.186101295641932,.0953842271981778,.16097569456518,
Maltepe,TUR034027,.0670934215757537,.062274041570251,.0626030017982512,.261801255457741,.0656411766704802,.,.
Pendik,TUR034028,.0969306460586606,.115740589137133,.119436963361954,.213292651766792,.105403358491552,.219222609758729,
Sancaktepe,TUR034029,.121138127669172,.253343505450174,.168842405077829,.200665417141217,.,.,.
Sariyer,TUR034030,.0561550586319782,.0787437652244519,.0747458265344546,.233862541359494,.106912870785093,.200073891625616,.177366122213952
Silivri,TUR034031,.330596639994118,.222192863088082,.198979052451935,.187677100494234,.107166574957782,.193487429479104,.164252116650988
Sultanbeyli,TUR034032,.173162120786078,.206334243904941,.20746859309497,.189027107179641,.191080840983121,.,.
Sultangazi,TUR034033,.146848360400722,.0846238872782915,.17088952690902,.177330465446892,.,.,.
Sile,TUR034034,.146180339901756,.166000123054205,.158730158730159,.218262001156738,.235156926767508,.341090779889856,.22071774548657
Sisli,TUR034035,.0142979920306274,.0284329448661748,.0452670082270063,.199248709699672,.0645300192283421,.101284640866123,.149945760576688
Tuzla,TUR034036,.106595901141414,.136281659907275,.175515323021513,.255022369308084,.242093187433816,.,.
Umraniye,TUR034037,.0798224620338541,.103368976124213,.116721856963452,.229150291267841,.644228732792093,.21965281342061,.
Uskudar,TUR034038,.0242191704077195,.046039711979053,.0555421512329296,.235353878691744,.0502138821630347,.141411509681723,.2011799560709
Zeytinburnu,TUR034039,.0765801389948419,.110344161799488,.123673648908681,.194174145141968,.117083153813012,.29498340243431,.284898982450966
Aliaga,TUR035001,.244869056463596,.239027462836987,.113655917168541,.232247991412679,.173254306353028,.213007220583749,.300576484783483
Balcova,TUR035002,.0184092984231177,.0308097928436911,.0015749969238341,.219299361436894,.0043898156277436,.,.
Bayindir,TUR035003,.190529765689967,.205382716049383,.227031972265023,.136211991230579,.143954831040924,.156756301813744,.188827757921369
Bayrakli,TUR035004,.0789559272745824,.0960759162470724,.103641673274412,.207759212332383,.,.,.
Bergama,TUR035005,.107188140056569,.115121393211447,.104918937021059,.119542455253072,.0785846533635055,.113195586283405,.140779386712095
Beydag,TUR035006,.211917347429121,.217769193626267,.244362063639172,.144824522434474,.16339222614841,.158732299393122,.
Bornova,TUR035007,.0594717587222272,.0813624938076803,.0955995093529592,.236804673223623,.0948450221250295,.169057407796417,.233431060391118
Buca,TUR035008,.0784243860646484,.0965759026700973,.107425302497824,.230885371437594,.0676256981465361,.130571809978822,.
Cesme,TUR035009,.0675121223424096,.0792407820359902,.087711915354094,.258058239833971,.189950271770556,.230377471539844,.263005780346821
Cigli,TUR035010,.0595882768433876,.0793506179886281,.0905824115382265,.238741204065676,.0831142065240566,.,.
Dikili,TUR035011,.09495992392338,.1103733215287,.10867802108678,.153462136929461,.109423309584622,.191162000178907,.196226806261014
Foca,TUR035012,.53826549733903,.414225596171301,.729516899663776,.583442953608699,.924146147736299,.704814276820917,.789473684210526
Gaziemir,TUR035013,.103726726548094,.0881615939371715,.127395402787081,.278735421403946,.225284231339595,.,.
Guzelbahce,TUR035014,-.0075469455669123,.108948063686296,.124235410811704,.319215380111252,.356336420144615,.,.
Karabaglar,TUR035015,.0614897106148971,.0747586892580471,.075988256399112,.184886719675333,.,.,.
Karaburun,TUR035016,.133554947203754,.143045195261079,.168688754083061,.258078994614004,.117647058823529,.201737905119775,.287904599659284
Karsiyaka,TUR035017,-.0712875078640007,-.051799559709431,-.0381009278337946,.180555645354213,.011030081636825,.0783572783186903,.103981188868155
Kemalpasa,TUR035018,.130229535768209,.146248452661422,.150623343903393,.172519333660429,.123338870431894,.180574855554743,.180153820431366
Kinik,TUR035019,.128990093560815,.140390925952347,.153534635879218,.112278722053741,.102443902743922,.126788489362842,.142898267027463
Kiraz,TUR035020,.278342922899885,.284457748100391,.300612667807911,.151989271345552,.188927707605482,.182223928588568,.1878891885266
Merkez35,TUR035021,.068806610519625,.0799804367393872,.0856831366667982,.160879889536023,.0470440435987139,.145769800470506,.176728170886142
Menderes,TUR035022,.103098106712565,.120640698944303,.136379992803167,.196156256528097,.11754279067191,.185442277116376,.
Menemen,TUR035023,.148675074062365,.160087747764119,.155870596865223,.195397090002751,.111688629880471,.173139509655023,.183740586049265
Narlidere,TUR035024,.117824773413897,.0794132210943303,.175504885993485,.297590446579989,.390897325280414,.,.
Odemis,TUR035025,.157499135611311,.178175167034495,.173271609622828,.14810382916053,.118609534178396,.161628654031481,.185227662014626
Seferihisar,TUR035026,.107151286287468,.110208227526663,.165947242206235,.196529152077942,.160381948668045,.348128342245989,.23282498184459
Selcuk,TUR035027,.132327940773238,.157888839085612,.149697841726619,.173249811495853,.112891652714662,.201074617829575,.156191766898187
Tire,TUR035028,.100221419414987,.123709117048041,.136573958903428,.150379993837938,.0963564585481154,.135437043138062,.123103136148235
Torbali,TUR035029,.137021862549239,.16182300247117,.164555243869333,.166994170973761,.116297519243552,.148738830449044,.162278310509605
Urla,TUR035030,.0821527166823408,.102814359248613,.0945558739255014,.262084717607973,.157613115876889,.199206062793215,.235205337993486
Akyaka,TUR036001,.39538583929992,.353980582524272,.330755395683453,.170608108108108,.294877505567929,.138790502426866,.
Arpacay,TUR036002,.325065899832255,.331363636363636,.284542004308134,.168460867035205,.159794641424675,.0675865953252605,.111276819306511
Digor,TUR036003,.364319954882978,.354587869362364,.33108857550309,.189767296090261,.122928709055877,.100190320826536,.189994004396776
Kagizman,TUR036004,.25034436791824,.278526306489376,.263046807101767,.150367903975007,.246872113527584,.166137229987294,.234319286871961
Merkez36,TUR036005,.177010805379775,.230240930490169,.258235338459219,.26049905206917,.268685153744576,.264424013746435,.288749150237933
Sarikamis,TUR036006,.429563894523327,.448459237453112,.426307245386193,.308111455108359,.310399278141214,.361036233152459,.403256316713958
Selim,TUR036007,.268664656854052,.29004402302743,.283408221001831,.214624959056666,.138140004661642,.122533333333333,.137071293157925
Susuz,TUR036008,.250146455770357,.256963659841358,.239485981308411,.134404449250734,.148084087280468,.0997162545601946,.135496019857913
Abana,TUR037001,.217710371819961,.211810639336262,.167509836987071,.21783700666325,.102934326967862,.0479418886198547,.0649229332087809
Agli,TUR037002,.399500624219725,.397972972972973,.385988103106411,.173042966450853,.0802690582959641,.0058737151248165,.
Arac,TUR037003,.270587004290049,.29260382885239,.268368059017047,.130434782608696,.07425431711146,.0582401107138738,.0712105263157895
Azdavay,TUR037004,.493161493950552,.529292343387471,.507434441741011,.199489795918367,.185312432896715,.118620689655172,.112663203706304
Bozkurt,TUR037005,.27551850345669,.262108262108262,.274225885497884,.125573269272767,.0939942802669209,.0174646190906354,.0063636363636364
Cide,TUR037006,.364999128464354,.347859197833813,.325226751719326,.0695367427525763,.142952017267143,.0734183641093978,.09209114706261
Catalzeytin,TUR037007,.35310977357409,.316451902906803,.335910652920962,.140898090884646,.171189507010403,.0067124820201375,.0211451651223569
Daday,TUR037008,.310499216476382,.321632294866169,.329787234042553,.208388688555703,.121963824289406,.124477120040563,.0980913823019086
Devrekani,TUR037009,.236236830390266,.242148892077156,.227078104237413,.137313432835821,.0862301928510011,.0574510493610036,.0569262897362518
Doganyurt,TUR037010,.345940658624063,.31702668360864,.243928194297782,.0350104335729191,.0104028749763571,.0253095659273371,.
Hanonu,TUR037011,.385325558794947,.353356890459364,.357419980601358,.165758401453224,.198044895003621,.178533190578158,.
Ihsangazi,TUR037012,.270174191254888,.278732726659926,.33265306122449,.1344,.131246567819879,.192536983881652,.
Inebolu,TUR037013,.243366116162553,.24634636463281,.208412017167382,.0806596456853621,.0545094152626363,.028374436488995,.0293335620550648
Merkez37,TUR037014,.124912497980723,.127049756701263,.194684628736126,.210684202498178,.104162633107454,.185799828913601,.214770920653274
Kure,TUR037015,.360363391655451,.31628664495114,.264791183294664,.0749202975557917,.0194935325195846,.0009102730819246,.0658278628738147
PinarbasiK,TUR037016,.583677685950413,.549945115257958,.464426877470356,.0719317760474601,.201897905759162,.118084016393443,.
Seydiler,TUR037017,.211594202898551,.239715591670899,.260508308895406,.127019748653501,.116191904047976,.034144893111639,.
Senpazar,TUR037018,.460422710319105,.433984842441165,.343762070297412,.105583392984968,.12145390070922,.178952042628774,.
Taskopru,TUR037019,.255739860422777,.261885371067902,.257921202948787,.132466918714556,.104990563139183,.112331081081081,.140451927337173
Tosya,TUR037020,.147946131196602,.169427422443508,.180428279758796,.0927952793375845,.0819921604795942,.0974458298026873,.094611893401606
Akkisla,TUR038001,.355996222851747,.366699702675917,.394555873925501,.250929774666375,.12915498598318,.141316270566728,.
Bunyan,TUR038002,.486007462686567,.274249981389116,.270063612414059,.203642003676471,.0869501250551714,.0786795291618727,.040603422395677
Develi,TUR038003,.200805682831575,.210483568661752,.224825446082234,.155425581037402,.0687599146654997,.110052853271805,.0706358036416922
Felahiye,TUR038004,.363154613466334,.356055363321799,.309756779424098,.193996664813785,.153958055521881,.19853539462978,.108451512419051
Hacilar,TUR038005,.227885083590326,.239255933290571,.218216621470729,.178888369920598,.219792182088075,.233866329230415,.
Incesu,TUR038006,.251888974556669,.29133924799324,.267808452624404,.187865083851517,.142388509619647,.143140615134843,.162798968613853
Kocasinan,TUR038007,.103915907612232,.130944219061709,.149424230459263,.220305391155811,.0918779928822971,.119607843137255,.
Merkez38,TUR038008,.083125904694173,.098381084636749,.116104089097916,.213510715969058,.11247677110162,.20402518506598,.162798968613853
Ozvatan,TUR038009,.331809523809524,.306339904102291,.275270758122744,.17103844771829,.12509534706331,.111009021049115,.
Pinarbasi,TUR038010,.309645455952934,.318773946360153,.288413833357654,.185848088273031,.0764317300868046,.0425565890853926,.0447328301044882
Sarioglan,TUR038011,.299714896650036,.335788131992636,.32494653415524,.250026621233095,.162038049420512,.155389760740931,.117470100520948
Sariz,TUR038012,.372041270483512,.386396828708533,.339676329361551,.182104599873976,.0996021220159151,.111020324788071,.113143748916248
Talas,TUR038013,.0529103204196423,.0944972925508561,.169655625555598,.3118662435173,.112738506269308,.255910501245466,.
Tomarza,TUR038014,.303011348404968,.306750065155069,.307326428845416,.187086325869596,.050636281348171,.0122316311692755,.0569336065216444
Yahyali,TUR038015,.275455758114718,.290842205005295,.292103721846547,.19033105622701,.150631278223205,.13519947101609,.158288619034171
Yesilhisar,TUR038016,.251723345588235,.279281558310144,.302689254827627,.219512195121951,.195644974333499,.156865952400425,.187574387050702
Babaeski,TUR039001,.158131176999102,.125211577522004,.166828400452855,.20569695059491,.1354535653781,.21808116642626,.261705072876802
Demirkoy,TUR039002,.352311435523114,.329770594369135,.24639099584047,.223668639053254,.379107505070994,.369236247106997,.365455893254262
Merkez39,TUR039003,.117866054898173,.113460335267848,.166346707621424,.215725905841755,.190335279663928,.24448274887677,.282357814996745
Kofcaz,TUR039004,.298678414096916,.378850957535387,.278688524590164,.166899441340782,.440958357102111,.180936313791649,.0952890792291221
Luleburgaz,TUR039005,.081244279293433,.101758026235379,.106400405051227,.237194763393272,.116486951634997,.212195178114998,.263820630661743
Pehlivankoy,TUR039006,.219139297848245,.234020073956682,.247306791569087,.21375,.0927694406548431,.113164628945124,.132530120481928
Pinarhisar,TUR039007,.224797219003476,.210550045085663,.216428341038598,.282952182952183,.258984487908276,.270946005851583,.341815023881893
Vize,TUR039008,.133004210832002,.137534327915089,.134981124011682,.186267798466594,.143722608919825,.219236471460341,.221974896432325
Akcakent,TUR040001,.426484448633365,.374813339970134,.347917543121582,.115436241610738,.106064387322186,.0376350468954054,.
Akpinar,TUR040002,.334604627510806,.332197168327215,.299567493740041,.157140089130014,.0560734463276836,.0345983349551303,.
Boztepe,TUR040003,.369912790697674,.405966767371601,.360014229811455,.244897959183673,.187772925764192,.11502647434727,.
Cicekdagi,TUR040004,.25283118251251,.290521132540008,.29026376564969,.152515898694634,.0786740131876073,.0517214397496088,.0509731629940839
Kaman,TUR040005,.210956839952642,.204674296716226,.201895599161745,.196270061866762,.110114485143025,.0795823739078321,.0615233908348067
Merkez40,TUR040006,.0905767036614459,.120590683390259,.140618294524358,.213138296095916,.066012366613569,.0934231047206056,.105473847564632
Mucur,TUR040007,.123325245279038,.1332040090527,.145157894736842,.160839160839161,.106344805088893,.0884874719054358,.0680407448671017
Basiskele,TUR041001,.100643458175219,.137305949281651,.153532803580137,.247760358342665,.,.,.
Cayirova,TUR041002,.11220649144081,.137537421873632,.139462764795807,.202858411935307,.,.,.
Darica,TUR041003,.115642564829618,.135288942345172,.140177965763537,.202670211018354,.,.,.
Derince,TUR041004,.0946190063012958,.118557919621749,.113306189699149,.247250286169313,.076255641887018,.,.
Dilovasi,TUR041005,.207640911427103,.239820212718615,.252494104843098,.214259121370067,.,.,.
Gebze,TUR041006,.107797813369558,.125373603901211,.13237244499922,.214669165753086,.141807749452612,.201684444190545,.173295278277595
Golcuk,TUR041007,.0994625662461745,.130249348218464,.138082673702726,.286790739900136,.287380853709076,.233278161814818,.253591356998694
Merkez41,TUR041008,.052959433586612,.0702383064954691,.108147133876891,.240072356520309,.155882632440984,.157597912944349,.149258657864615
Kandira,TUR041009,.437714236126177,.37632283844904,.362315679260099,.145774860745283,.218274111675127,.197523778287963,.169776196582964
Karamursel,TUR041010,.0894657346587516,.0994944023113037,.0938079909108123,.201311422973891,.100648257282371,.105047946444726,.138387989599933
Kartepe,TUR041011,.125756846016238,.147310225107082,.135829862055973,.225768458003279,.,.,.
Korfez,TUR041012,.124867454020257,.13716478158347,.143337779753965,.228728213762355,.126445928111172,.137882671567442,.
Ahirli,TUR042001,.271461716937355,.312553011026293,.300038270187524,.130350194552529,.126502575844305,.129588431590656,.
Akoren,TUR042002,.211338477021134,.179122541603631,.198335644937587,.163164721141375,.173505418239377,.255084253341081,.
Aksehir,TUR042003,.108398355566742,.130199103512978,.141950291551218,.160748804557941,.0774043711111496,.104898044986336,.107460910247466
Altinekin,TUR042004,.150479366402668,.163973922902494,.138054068889804,.0851520121105084,.100835899692037,.129654831127057,.
Beysehir,TUR042005,.128387323372869,.139937324939682,.168601673211542,.13635467425288,.137287483383474,.148464793316697,.109389599578683
Bozkir,TUR042006,.202019452075135,.230629847068203,.208088331373318,.079546155269162,.0730876765359524,.0709681988809406,.0583066844670744
Cihanbeyli,TUR042007,.200591424346969,.211352836352836,.173415173415173,.124619041813971,.10383487007544,.12387676508344,.0992258285100252
Celtik,TUR042008,.260519428226294,.267008196721311,.231916068470458,.144959780934451,.148467966573816,.0984069596655745,.
Cumra,TUR042009,.130712678169542,.137665198237885,.141150889657918,.0916127857207905,.121911816856456,.106499946103266,.0692522041021424
Derbent,TUR042010,.297332750327941,.325916230366492,.302748741773132,.0742607526881721,.211670313639679,.132252027448534,.
Derebucak,TUR042011,.37199124726477,.3696738172201,.287780656303972,.16059379217274,.106103582309066,.129844482843742,.
Doganhisar,TUR042012,.224563515954244,.232542449117283,.227637773469953,.122250460082377,.0981639199203628,.128969881636001,.119955884261061
